date,day,task,status
2025-08-04,Monday,9am meeting,Pending
2025-08-04,Monday,Check weekend emails,Pending
2025-08-04,Monday,Confirm weekly training readiness,Pending
2025-08-04,Monday,Review upcoming attendee/instructor meetings,Pending
2025-08-05,Tuesday,Check LinkedIn for FUN with the FAR,Pending
2025-08-05,Tuesday,Schedule LinkedIn post (1 week before FUN with the FAR),Pending
2025-08-05,Tuesday,Schedule post-training LinkedIn post,Pending
2025-08-05,Tuesday,Prepare for training programs,Pending
2025-08-06,Wednesday,Run scheduled training programs (if any),Pending
2025-08-07,Thursday,Run scheduled training programs (if any),Pending
2025-08-08,Friday,Update recording links,Pending
2025-08-08,Friday,Update recording list,Pending
2025-08-08,Friday,Update subscribable calendars,Pending
2025-08-08,Friday,Update Everything PCI PDF,Pending
2025-08-08,Friday,Update Virtual Bundle document,Pending
2025-08-08,Friday,Update CVENT Rosters,Pending
